net,length_um
_03110_,105.615
_01423_,105.19
_00813_,105.125
_03570_,105.04
net316,104.82
net252,104.04
_04120_,103.795
_02398_,103.66
_04536_,102.96
_02897_,102.9
_02544_,102.74
_01134_,102.24
_03309_,101.86
_03957_,101.82
_00855_,101.3
_05542_,101.175
_00968_,101.04
_00313_,100.62
_03832_,100.4
_02358_,100.2
_04286_,100.2
_03812_,100.06
_01946_,99.71
_04063_,99.575
_00285_,99.34
_03483_,99.3
_01274_,99.2
_02787_,98.94
_01793_,98.88
_04694_,98.84
_04792_,98.6
_01644_,98.54
_01075_,98.52
_05476_,98.36
_02770_,98.02
_02854_,97.76
_01491_,97.56
net294,97.34
_01282_,97.29
_04920_,97.14
net89,97.12
_01086_,97.075
_04182_,96.24
_03881_,96.16
_01228_,95.98
_05114_,95.88
_03847_,95.68
_03695_,95.15
_03421_,94.9
_01257_,94.82
_02480_,94.8
_04892_,94.69
_01431_,94.48
_00347_,94.34
_02688_,94.34
_02229_,94.28
_04478_,94.08
_04623_,94.06
_00274_,93.98
_04830_,93.62
_00553_,93.34
_01960_,93.04
_03945_,92.96
_00402_,92.68
_01542_,92.52
_01962_,92.5
_00865_,92.48
_03912_,92.38
_03459_,92.315
_04369_,92.3
_01395_,92.14
_05426_,92.08
_03115_,91.71
_03776_,91.62
_03418_,91.58
_04480_,91.52
_01242_,91.495
_03112_,91.46
_04798_,91.04
_01097_,91
_02403_,90.92
_03317_,90.74
_03674_,90.66
_00969_,90.6
_00929_,90.52
_02547_,90.52
_03946_,90.06
_00102_,89.8
_02327_,89.795
_00171_,89.57
_03680_,89.375
_00989_,89.22
_03562_,89.16
_03013_,89.1
_00509_,89.08
_04438_,88.64
_04667_,88.6
_00955_,88.3
_02256_,88.22
_01082_,88.18
_01081_,88.12
_02490_,87.88
_03153_,87.78
_04144_,87.78
_05584_,87.68
_03069_,87.42
_05421_,87.32
_01669_,87.22
_00510_,87.14
_00103_,87.12
_03439_,87.1
_01240_,87.085
_01220_,87
_03701_,86.92
_03022_,86.8
_02618_,86.78
_02664_,86.62
_03101_,86.6
_05342_,86.56
_00299_,86.525
_00981_,86.4
_03163_,86.4
_04447_,86.34
_02855_,86.16
_00693_,85.98
_00158_,85.54
_04899_,85.32
_00888_,85.3
_03538_,85.21
_00284_,85.12
_05575_,85.04
_03951_,84.98
_00828_,84.54
_04813_,84.5
net113,84.2
_03024_,84.015
_00945_,83.96
_00467_,83.76
_00039_,83.52
_01049_,83.44
_03340_,83.38
_03165_,83.36
_04967_,83.22
_02713_,83.2
_03670_,83.18
_00352_,83.1
_03641_,83.085
_04629_,83.06
_01112_,83.02
_05459_,82.9
_01802_,82.8
_04047_,82.6
_03777_,82.46
_01469_,82.37
_04906_,82.34
_03154_,82.26
_04004_,82.185
_03348_,82.16
_04590_,82.14
_03768_,82.02
_05322_,82.02
_03732_,81.84
_01396_,81.78
_04067_,81.72
net320,81.68
_03700_,81.64
_00849_,81.6
_05642_,81.42
_03699_,81.38
_04149_,81.26
_01643_,81.12
_00850_,80.82
_00676_,80.8
_03599_,80.76
_04556_,80.76
_04271_,80.64
_03360_,80.48
_04710_,80.3
_03258_,80.12
_01753_,80.11
_00707_,79.84
_03179_,79.52
_03349_,79.4
_01099_,79.28
_03676_,79.26
_00665_,79.04
_03457_,78.76
_02886_,78.7
_04269_,78.68
_02570_,78.6
_03256_,78.42
_01625_,78.32
_05536_,78.32
_03924_,78.26
_01696_,78.02
_00311_,77.84
_05299_,77.82
_00471_,77.8
_02745_,77.72
_01778_,77.68
_05448_,77.66
_01009_,77.44
_04251_,77.42
_05266_,77.42
_01028_,77.03
_04046_,76.94
_00040_,76.87
_04391_,76.86
_05698_,76.74
_03879_,76.58
_00310_,76.44
net71,76.34
_00771_,76.275
net105,76.2
_04026_,76.125
_00873_,76.1
_01229_,76
_04548_,75.94
_05390_,75.94
_04831_,75.84
_01931_,75.82
_03541_,75.725
_02364_,75.56
_03230_,75.16
_01403_,75.1
_00608_,75.06
_01241_,74.88
_03267_,74.74
_04121_,74.62
_02542_,74.61
_04377_,73.94
_00043_,73.78
_04151_,73.76
_05699_,73.74
_04217_,73.72
_04993_,73.66
_01572_,73.625
_03000_,73.62
_01512_,73.6
_03739_,73.44
_01932_,73.27
_03626_,73.24
_00169_,73.2
_00786_,73.16
_04288_,72.96
_02742_,72.92
_05398_,72.92
_05325_,72.86
_02836_,72.68
_02436_,72.52
_01708_,72.44
_04563_,72.44
_01163_,72.28
_01146_,72.16
_01238_,72.07
_04104_,72.02
_01304_,71.98
_03709_,71.96
_00069_,71.94
_01351_,71.78
_00278_,71.74
_05332_,71.64
_03208_,71.52
_02517_,71.46
_01780_,71.3
_03929_,71.22
_00032_,71.08
_00803_,71.04
_01587_,70.82
_04250_,70.8
_04316_,70.78
_03364_,70.76
_02375_,70.69
_01721_,70.57
_04541_,70.5
_00542_,70.42
_00949_,70.4
_05456_,70.24
_02858_,70.06
_05303_,70.06
_01397_,69.86
_02405_,69.74
_02093_,69.72
_00966_,69.59
_00398_,69.5
_02396_,69.14
_03894_,68.84
_01052_,68.78
_02262_,68.76
_00808_,68.75
_01233_,68.7
_00105_,68.64
_03493_,68.62
_00666_,68.46
_03628_,68.46
_00815_,68.4
_04214_,68.34
_01766_,68.16
_03047_,68
_03316_,67.98
_02689_,67.86
_03660_,67.82
_03559_,67.54
_05328_,67.46
_01470_,67.44
_02058_,67.42
_04417_,67.42
_04395_,67.2
net342,67.12
_05397_,67.08
_00030_,67
_00301_,66.86
_01104_,66.83
_04879_,66.8
_04108_,66.735
_00183_,66.64
_02671_,66.62
_00446_,66.305
_00447_,66.16
_01310_,66.06
_01309_,66.055
_03488_,66
_02949_,65.98
net254,65.94
_04107_,65.6
_03002_,65.52
_03623_,65.42
_04106_,65.42
_02769_,65.32
_05300_,65.26
_01083_,65.24
_01510_,65.22
_04326_,65.14
_00586_,65.135
_01598_,65.12
_04602_,65.06
_04877_,64.94
_00200_,64.84
_00371_,64.84
_00223_,64.82
_01785_,64.82
_03603_,64.785
_04752_,64.735
_03835_,64.6
_01466_,64.56
_05526_,64.56
_00708_,64.52
_03581_,64.48
_01303_,64.42
_03492_,64.42
_01365_,64.28
_03019_,64.16
_03330_,64.16
_02955_,64.12
_04152_,64.12
_02070_,64.11
_05568_,64.08
_04232_,64
_02993_,63.92
_04148_,63.82
_04780_,63.82
_04221_,63.805
_03417_,63.76
_02594_,63.72
_05013_,63.7
_04738_,63.66
_05055_,63.46
_02524_,63.44
_02860_,63.42
_03487_,63.42
_05140_,63.18
_04914_,63.14
_04439_,63.08
_00074_,63.02
_01918_,63.02
_01896_,63.015
_02024_,63.01
_00800_,62.88
_03209_,62.86
_03925_,62.86
_02597_,62.84
_01164_,62.68
_01091_,62.6
_00255_,62.59
_01573_,62.58
_02001_,62.5
_00511_,62.44
_01465_,62.4
_04634_,62.36
_05500_,62.24
_01528_,62.18
_05672_,62.12
_01858_,62.08
_00410_,62.04
_03399_,62.04
_01155_,62
_01700_,61.96
_05175_,61.9
_03737_,61.74
_03501_,61.705
_04330_,61.64
net204,61.6
_03381_,61.545
_02652_,61.54
_02884_,61.3
_05671_,61.24
_00716_,61.2
_03975_,61.1
_04654_,60.98
_04350_,60.88
_02637_,60.84
_00912_,60.76
_04376_,60.72
_00816_,60.7
_04224_,60.58
_05512_,60.56
_00199_,60.48
_01426_,60.48
_00071_,60.46
_01262_,60.44
_04761_,60.42
_01006_,60.32
net123,60.28
_01147_,59.9
_00399_,59.8
_01005_,59.8
_00403_,59.76
_02727_,59.76
_02338_,59.705
_05293_,59.62
_02497_,59.52
_05225_,59.46
_02213_,59.32
_03213_,59.28
_04013_,59.26
_01559_,59.075
_02032_,59.04
_02912_,58.96
_03685_,58.945
_02147_,58.84
_02212_,58.82
_03882_,58.74
_00819_,58.56
net283,58.54
_04075_,58.48
_05253_,58.38
_04249_,58.3
_01889_,58.24
_05571_,58.24
_03079_,58.22
_04024_,58.22
_04011_,58.21
_00814_,58.18
_01301_,58.14
_02573_,58.12
_03707_,57.92
_04223_,57.92
_02748_,57.9
_03445_,57.9
_01591_,57.88
_03664_,57.86
_00856_,57.855
_02203_,57.84
_00787_,57.74
_01647_,57.72
_01907_,57.7
_01648_,57.68
_01216_,57.56
_03637_,57.56
_03510_,57.54
_03848_,57.5
_04445_,57.5
_04512_,57.46
_05329_,57.42
_03269_,57.405
_03625_,57.38
_00372_,57.16
_03017_,57.12
_01180_,57.06
_02204_,57.04
_04064_,56.92
_04685_,56.82
_04212_,56.78
_04133_,56.745
_03018_,56.62
_03815_,56.6
_02958_,56.54
_04785_,56.54
_01110_,56.5
_02399_,56.46
_03446_,56.46
_00899_,56.36
_03720_,56.34
_04420_,56.32
_04762_,56.32
_00685_,56.24
_02043_,56.22
_03549_,56.1
_04096_,56.1
_05610_,56.09
_00318_,56.08
_00193_,56.03
_04605_,55.97
_04128_,55.94
_04008_,55.935
_02372_,55.93
_02182_,55.9
_00794_,55.88
_01890_,55.86
_02172_,55.76
_01736_,55.74
_02010_,55.74
_00072_,55.68
_00170_,55.66
_04601_,55.64
_00427_,55.55
_02690_,55.54
_03205_,55.49
_04142_,55.48
_00231_,55.455
_01196_,55.42
_00465_,55.4
_03366_,55.32
_00106_,55.26
_05675_,55.24
_04213_,55.22
_03726_,55.12
_03170_,55.08
_03173_,55
_03426_,54.98
_05646_,54.92
_02731_,54.86
_03444_,54.84
_03961_,54.74
_00184_,54.52
_04328_,54.445
_02356_,54.44
_03916_,54.44
_00036_,54.42
_02683_,54.4
_04044_,54.36
_01098_,54.3
_05451_,54.28
_00317_,54.26
_00738_,54.26
_00633_,54.2
_01827_,54.2
_00972_,54.18
_04002_,54.12
net171,54.02
_01716_,54
_01751_,53.92
_05684_,53.88
_04014_,53.855
_04086_,53.855
_03743_,53.82
_04315_,53.64
_03883_,53.62
_05556_,53.58
_04022_,53.56
_04388_,53.52
_04689_,53.52
_05561_,53.52
_00292_,53.38
_02952_,53.38
_05272_,53.32
_02607_,53.3
_03741_,53.18
_01411_,53.12
_01848_,53.1
_05389_,53.1
_02715_,53.04
_02284_,52.94
_03073_,52.92
_00589_,52.84
_02740_,52.84
_05159_,52.82
_05216_,52.76
net261,52.76
_03965_,52.68
_01270_,52.62
_01709_,52.59
_04600_,52.56
_03783_,52.46
_01876_,52.44
_05016_,52.34
_01506_,52.28
_03770_,52.215
_03823_,52.2
_04185_,52.18
_04789_,52.18
_02224_,52.16
_03290_,52.1
_04293_,52.1
_01015_,52.04
_01014_,52.02
_05474_,52.02
_02225_,51.92
net325,51.91
_00211_,51.785
_02009_,51.72
_00049_,51.58
_03533_,51.58
